nuclide,mass,uncertainty
99Tc,98.90625414,0.00000228
99Ru,98.90593894,0.000002339
99Rh,98.90819177,0.000010384
99Pd,98.91176349,0.000016725
99Ag,98.91759279,0.000161897
99Cd,98.924861,0.000537
100Sr,99.935571,0.000649
100Y,99.928378,0.000437
100Zr,99.91775044,0.000081997
100Nb,99.91417557,0.000032809
100Mo,99.9074767,0.00000626
100Tc,99.90765722,0.00000252
100Ru,99.90421925,0.000002364
100Rh,99.90811618,0.0000216
100Pd,99.9085269,0.000012427
100Ag,99.91613827,0.000097414
100Cd,99.920228,0.000322
101Y,100.930882,0.000542
101Zr,100.9215209,0.000149274
101Nb,100.9153158,0.000075413
101Mo,100.9103454,0.000006318
101Tc,100.9073268,0.000025928
101Ru,100.9055819,0.000002398
101Rh,100.9061594,0.000018598
101Pd,100.9082872,0.000019087
101Ag,100.9128068,0.000130231
101Cd,100.9187434,0.000190885
101In,100.926555,0.000578
102Zr,101.922964,0.00043
102Nb,101.9180369,0.000078405
102Mo,101.9102968,0.000022365
102Tc,101.9092077,0.000010796
102Ru,101.9043485,0.000002517
102Rh,101.9068136,0.000022269
102Pd,101.9056341,0.000004666
102Ag,101.9119464,0.000118181
102Cd,101.914437,0.000215
102In,101.924399,0.000445
102Sn,101.930433,0.000679
103Zr,102.927422,0.000578
103Nb,102.919371,0.000251
103Mo,102.913466,0.000215
103Tc,102.9091722,0.000011751
103Ru,102.9063227,0.000002535
103Rh,102.9055002,0.00000358
103Pd,102.9061144,0.000004488
103Ag,102.9089808,0.000053864
103Cd,102.9134517,0.000019389
103In,102.920108,0.000323
103Sn,102.928159,0.000537
104Nb,103.922944,0.000436
104Mo,103.913604,0.000331
104Tc,103.9114568,0.000075376
104Ru,103.9054236,0.000005863
104Rh,103.9066514,0.000003582
104Pd,103.9040294,0.000005737
104Ag,103.9086227,0.000007166
104Cd,103.9098508,0.000012003
104In,103.918439,0.000215
104Sn,103.92327,0.00043
104Sb,103.936367,0.000679
105Nb,104.924706,0.000537
105Mo,104.917191,0.000322
105Tc,104.911823,0.000215
105Ru,104.9077438,0.000005864
105Rh,104.9056864,0.000005893
105Pd,104.9050785,0.0000057
105Ag,104.9065205,0.000010036
105Cd,104.9094587,0.000010933
105In,104.914558,0.000019464
105Sn,104.9213384,0.00008957
105Sb,104.931198,0.000537
106Mo,105.917949,0.00043
106Tc,105.914514,0.000322
106Ru,105.9073212,0.000011026
106Rh,105.907279,0.000011024
106Pd,105.9034783,0.000005711
106Ag,105.906662,0.000006079
106Cd,105.9064611,0.000006548
106In,105.9134874,0.000032865
106Sn,105.91703,0.000217
106Sb,105.928624,0.000538
106Te,105.937677,0.00068
107Mo,106.922156,0.000626
107Tc,106.915232,0.000323
107Ru,106.9101323,0.000322654
107Rh,106.9067507,0.000019561
107Pd,106.9051271,0.000006608
107Ag,106.9050915,0.00000586
107Cd,106.9066127,0.000007265
107In,106.9102842,0.000009033
107Sn,106.915867,0.000108
107Sb,106.924133,0.00043
107Te,106.935037,0.00054
108Tc,107.91842,0.000433
108Ru,107.9101432,0.00065302
108Rh,107.908651,0.000053839
108Pd,107.9038952,0.000004177
108Ag,107.9059524,0.000005861
108Cd,107.9041757,0.000005975
108In,107.9096778,0.000012284
108Sn,107.9118778,0.000032434
108Sb,107.922131,0.000322
108Te,107.929552,0.00043
108I,107.943587,0.000712
109Tc,108.919577,0.000537
109Ru,108.913243,0.000323
109Rh,108.9087339,0.000024127
109Pd,108.9059536,0.000004167
109Ag,108.9047556,0.000003708
109Cd,108.9049533,0.000004711
109In,108.9071335,0.000007134
109Sn,108.9112942,0.000010874
109Sb,108.9181433,0.000020329
109Te,108.9273744,0.000071704
109I,108.937988,0.000578
110Ru,109.913755,0.000323
110Rh,109.9109638,0.000109164
110Pd,109.9051667,0.000019799
110Ag,109.9061106,0.000003708
110Cd,109.9030052,0.000003509
110In,109.9072349,0.000032397
110Sn,109.9078581,0.000016858
110Sb,109.916768,0.000215
110Te,109.922557,0.000218
110I,109.935064,0.00054
110Xe,109.944444,0.000681
111Ru,110.917426,0.000433
111Rh,110.911629,0.000221
111Pd,110.9076569,0.000053832
111Ag,110.9052952,0.000004087
111Cd,110.9041819,0.000003478
111In,110.9051093,0.000006162
111Sn,110.9077409,0.000007895
111Sb,110.913216,0.000215
111Te,110.921126,0.000077015
111I,110.930247,0.000433
111Xe,110.941617,0.000542
112Rh,111.914408,0.000323
112Pd,111.9073227,0.000026615
112Ag,111.9070075,0.000030408
112Cd,111.9027567,0.000003073
112In,111.9055356,0.00000557
112Sn,111.9048263,0.000004989
112Sb,111.9124109,0.000027298
112Te,111.9170178,0.000177118
112I,111.927941,0.000327
112Xe,111.935718,0.000431
113Rh,112.915361,0.00043
113Pd,112.9101653,0.000162484
113Ag,112.9065582,0.000021688
113Cd,112.9044004,0.000003064
113In,112.9040609,0.000004052
113Sn,112.9051762,0.000004574
113Sb,112.9093716,0.000026243
113Te,112.91592,0.000216
113I,112.9236515,0.000057398
113Xe,112.9333045,0.00008908
113Cs,112.944595,0.000439
114Pd,113.9103137,0.000159622
114Ag,113.9087571,0.000118129
114Cd,113.9033572,0.000003065
114In,113.9049164,0.000003938
114Sn,113.9027841,0.000003501
114Sb,113.9091086,0.000216164
114Te,113.912231,0.000215
114I,113.921786,0.000304
114Xe,113.928166,0.000306
114Cs,113.941272,0.000543
115Pd,114.913588,0.000322
115Ag,114.9088005,0.000075211
115Cd,114.9054296,0.000003093
115In,114.9038818,0.00000379
115Sn,114.9033479,0.000003289
115Sb,114.9066007,0.000021721
115Te,114.9117,0.000215803
